title,listing_type,url,rating,reviews,price
"Amazon Brand - Lifelong Cat Food - Paté with Salmon, 16 x 100g",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0681722FD33QVCJ3D62&url=%2FAmazon-Brand-Lifelong-Food-Salmon%2Fdp%2FB08GD8T19C%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-1-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_atf,4.2 out of 5 stars,"1,698",£6.14
"Purr & Miaow - Salmon & Herring Complete Dry Adult Cat Food, 1.5kg (Grain Free)",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00609792VX4R93I2WTSP&url=%2FPurr-Miaow-Complete-Grain-free-natural%2Fdp%2FB009LGTGZ4%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-2-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_atf,4.3 out of 5 stars,335,£9.99
Go-Cat Adult Dry Cat Food Chicken and Duck 10kg,Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0841625BU6U6QB1IL9E&url=%2FPurina-Go-Cat-Adult-Chicken-Duck%2Fdp%2FB01AY03EGC%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-3-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_atf,4.8 out of 5 stars,"13,241",
"Venandi Animal | Premium dry food for cats | Duck 4 x 1,5 kg | grain-free with lots of fresh meat, nature",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05296016VCY9VQOT563&url=%2FVenandi-Animal-Premium-grain-free-nature%2Fdp%2FB097YW26NW%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-4-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_atf,,,
Felix Original Mixed Selection In Jelly Cat Food 40x100g,,/Purina-Felix-Mixed-Selection-Jelly/dp/B06Y5VSDKN/ref=sr_1_5?keywords=cat+food&qid=1660589953&rdc=1&sr=8-5,4.7 out of 5 stars,"30,359",
Felix As Good As It Looks Cat Food Meat And Fish 120x100g,,/Felix-Looks-Pouches-Mixed-Jelly/dp/B01A6KBFXY/ref=sr_1_6?keywords=cat+food&qid=1660589953&rdc=1&sr=8-6,4.7 out of 5 stars,"5,884",
"Morrisons Meat & Poultry Senior Cat Food in Jelly, 12 x 100g",,/Morrisons-Meat-Poultry-Senior-Jelly/dp/B09QJ24S3N/ref=sr_1_7_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-7,4.3 out of 5 stars,33,£3.30
Sheba Fine Flakes in Jelly – Poultry Collection – Wet cat food pouches for adult cats – (40 x 85 g),,/Sheba-Fine-Flakes-Jelly-Collection/dp/B074F37222/ref=sr_1_8?keywords=cat+food&qid=1660589953&sr=8-8,4.7 out of 5 stars,"12,182",
"Whiskas wet pouches, delicious and tasty poultry selection in jelly, suitable for adult cats aged 1+, megapack (84 x 100 g)",,/Whiskas-Pouches-Mixed-Selection-Jelly/dp/B07H11WXL4/ref=sr_1_9?keywords=cat+food&qid=1660589953&sr=8-9,4.7 out of 5 stars,"22,570",£31.50
"Gourmet Cat Food Perle Chef's Collection, 96 Pouches, 96 x 85 g",,/Gourmet-Perle-Chefs-Collection-Pouches/dp/B06XDLN8JY/ref=sr_1_10?keywords=cat+food&qid=1660589953&sr=8-10,4.7 out of 5 stars,"16,033",£49.79
Go-Cat Adult Dry Cat Food Chicken and Duck 10kg,,/Purina-Go-Cat-Adult-Chicken-Duck/dp/B01AY03EGC/ref=sr_1_11?keywords=cat+food&qid=1660589953&rdc=1&sr=8-11,4.8 out of 5 stars,"13,241",
Sheba Select Slices in Gravy – Poultry Selection – Wet cat food pouches for adult cats – megapack (72 x 85 g),,/Sheba-Select-Slices-Gravy-Selection/dp/B01JS4Y8NI/ref=sr_1_12?keywords=cat+food&qid=1660589953&sr=8-12,4.6 out of 5 stars,"7,591",
"Purina ONE Adult Cat Food Mini Fillets in Gravy 40 x 85g, Packaging may vary",,/Purina-ONE-Fillets-Gravy-Pouches/dp/B07QZYP7QH/ref=sr_1_13?keywords=cat+food&qid=1660589953&rdc=1&sr=8-13,4.7 out of 5 stars,"18,592",£17.00
"Whiskas 1+ Complete Dry Cat Food for Adult Cats, with Chicken, suitable for adult cats aged 1+, (1 x 7 kg)",,/Whiskas-Complete-Dry-Food-Chicken/dp/B018SQLXGC/ref=sr_1_14?keywords=cat+food&qid=1660589953&sr=8-14,4.8 out of 5 stars,"6,995",
"Whiskas Wet Cat Food for adult cats aged 1+, fish selection in jelly, (40 x 100 g)",,/Whiskas-Plus-Pouches-Selection-Jelly/dp/B014PCZ0QM/ref=sr_1_15_f3_0o_fs?keywords=cat+food&qid=1660589953&sr=8-15,4.8 out of 5 stars,798,£13.49
"Encore 100% Natural Wet Cat Food, Chicken Breast in Broth Can, 70g (Pack of 16)",,/Encore-Chicken-Breast-Food-pack/dp/B01N4FK4M6/ref=sr_1_16?keywords=cat+food&qid=1660589953&sr=8-16,4.6 out of 5 stars,"2,218",
"Amazon Brand - Lifelong Complete Food for Adult Cats Meat In Gravy Selection, 4.8 kg (48 pouches x 100g)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03009661LWKJX2C7PRRM&url=%2FAmazon-Brand-Lifelong-Complete-Selection%2Fdp%2FB09588B9FK%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-17-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,4.1 out of 5 stars,"19,603",£19.23
"Gourmet Perle Ocean Delicacies in Gravy, 96 Pouches, 96 x 85 g",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03946042Y9MVAZA8JVY3&url=%2FGourmet-Perle-Ocean-Delicacies-Gravy%2Fdp%2FB06XDP19VG%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-18-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,4.7 out of 5 stars,"16,033",
Felix As Good As It Looks Cat Food Fish 80 x 100g (80 Pouches),,/Felix-Good-Looks-Food-Pouches/dp/B06W9LTM2J/ref=sr_1_19?keywords=cat+food&qid=1660589953&sr=8-19,4.6 out of 5 stars,343,
"IAMS for Vitality dry cat food with chicken - dry food for cats aged 1-6 years, 3kg",,/Iams-Vitality-Fresh-Chicken-Adult/dp/B00KVGRZ6A/ref=sr_1_20?keywords=cat+food&qid=1660589953&rdc=1&sr=8-20,4.7 out of 5 stars,"8,051",
Applaws 100% Natural Wet Cat Food Chicken Breast Selection in Broth (Pack of 12 x 70g Tins),,/Applaws-Natural-Multipack-Chicken-Selection/dp/B017NJ248Q/ref=sr_1_21?keywords=cat+food&qid=1660589953&sr=8-21,4.5 out of 5 stars,"3,820",£12.65
"Purina One Coat and Hairball Adult Dry Cat Food Rich in Chicken and Whole Grains, 800g",,/Purina-Hairball-Adult-Chicken-Grains/dp/B017UMTFJM/ref=sr_1_22_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-22,4.6 out of 5 stars,112,
Purina ONE Adult Dry Cat Food Chicken and Wholegrains 6kg,,/Purina-ONE-Food-Chicken-Wholegrains/dp/B00VUMWTT2/ref=sr_1_23?keywords=cat+food&qid=1660589953&rdc=1&sr=8-23,4.8 out of 5 stars,"6,139",
"Whiskas Poultry in Jelly Wet Senior 7+ Cat Food Pouches, 40 x 100g",,/WHISKAS-Years-Poultry-Selection-Jelly/dp/B01KCFQUP6/ref=sr_1_24?keywords=cat+food&qid=1660589953&sr=8-24,4.7 out of 5 stars,750,£14.50
"Purina Gourmet Gold Cat Food Savoury Cake, Meat and Fish, 8 x 85g",,/Gourmet-Gold-Food-Tins-Savoury/dp/B07NLCSSKB/ref=sr_1_25_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-25,4.6 out of 5 stars,245,
Felix Original Mixed Selection in Jelly Cat Food 120x100g,,/Felix-Standard-Cat-Food-Pouches/dp/B06W57X25S/ref=sr_1_26?keywords=cat+food&qid=1660589953&sr=8-26,4.7 out of 5 stars,"5,350",
"IAMS Delights Wet Food Land for Adult Cats, 48 x 85g",,/Iams-Delights-Land-Collection-Sauce/dp/B016Y4L4OG/ref=sr_1_27_f3_0o_fs?keywords=cat+food&qid=1660589953&sr=8-27,4.4 out of 5 stars,"1,633",
"Whiskas Wet cat food pouches, delicious and tasty poultry selection in jelly, suitable for adult cats aged 1+, (40 x 100 g)",,/Whiskas-Years-Pouches-Poultry-Selection/dp/B00N99FA5O/ref=sr_1_28_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-28,4.7 out of 5 stars,"3,677",£14.65
Whiskas 7+ - Wet Cat Food for Senior Cats - Poultry Selection in Jelly - 40 x 100g,,/Whiskas-Senior-Poultry-Selection-Pouches/dp/B01H1R0RT8/ref=sr_1_29_f3_0o_fs?keywords=cat+food&qid=1660589953&sr=8-29,4.7 out of 5 stars,543,
"Felix As Good As It Looks Cat Food Meat Selection, 12 x 100g",,/Felix-Chicken-Pork-Duck-12x100g/dp/B00SKMLCRU/ref=sr_1_30_f3_0o_fs?keywords=cat+food&qid=1660589953&sr=8-30,4.7 out of 5 stars,524,
"Venandi Animal | Premium dry food for cats | Duck 0,3 kg | grain-free with lots of fresh meat, nature",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10428663EXPYHNNS531W&url=%2FVenandi-Animal-Premium-grain-free-nature%2Fdp%2FB097Z2GGFK%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-31-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,4.2 out of 5 stars,53,£5.02
Lily's Kitchen Tasty Cuts with Chicken - Grain Free Adult Wet Cat Food (24 Tins x 85 g),Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0796474SV2VFM04EIXO&url=%2FLilys-Kitchen-Tasty-Cuts-Chicken%2Fdp%2FB08TJ5FCKC%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-32-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,3.9 out of 5 stars,212,£25.20
Lily's Kitchen Shredded Fillets Multipack - Grain Free Adult Wet Cat Food (4 Packs x 8 Tins x 70 g),Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0796910WN5QYP7DQ63E&url=%2FLilys-Kitchen-Shredded-Fillets-Multipack%2Fdp%2FB08TJ3V2N4%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-33-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,4.4 out of 5 stars,61,£38.36
"Lily's Kitchen Smooth Chicken and Cod with Salmon Paté Complete Kitten Food 19 x 85g, Green",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07967861X6VB98XJSOXI&url=%2FLilys-Kitchen-Smooth-Chicken-Complete%2Fdp%2FB09RMTD9HH%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-34-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_mtf,4.6 out of 5 stars,15,£15.99
"Whiskas 1+ Dry Cat Food with Tuna, 2kg",,/Whiskas-Dry-Cat-Food-Tuna/dp/B00366WOE0/ref=sr_1_35_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-35,4.8 out of 5 stars,444,
"Morrisons Senior Cat Food Chicken Pate, 100 g",,/Morrisons-Senior-Food-Chicken-Pate/dp/B08K47LXKN/ref=sr_1_36_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-36,4.2 out of 5 stars,42,£0.45
"Morrisons Complete Adult Cat Food with Chicken and Vegetables, 1kg",,/Morrisons-Complete-Adult-Chicken-Vegetables/dp/B01F02DSBU/ref=sr_1_37_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-37,4.4 out of 5 stars,307,£1.60
"Morrisons Adult Cat Fine Cuts in Jelly Ocean's Catch Pouches, 12 x 100g",,/Morrisons-Adult-Jelly-Oceans-Pouches/dp/B07GJRBF7C/ref=sr_1_38_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-38,4.4 out of 5 stars,314,£3.30
"Morrisons Fine Cuts in Jelly Meaty Feast Adult, 1200 g",,/Morrisons-Jelly-Meaty-Feast-Adult/dp/B07GJM5JNL/ref=sr_1_39_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-39,4.4 out of 5 stars,207,£3.30
"Morrisons Meat Selection in Gravy, 1200 g",,/Morrisons-Meat-Selection-Gravy-1200/dp/B01MD168WN/ref=sr_1_40_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-40,4.3 out of 5 stars,148,£3.30
"Gourmet Gold Chunks with Chicken and Liver in Gravy, 85 g",,/Gourmet-Chunks-Chicken-Liver-Gravy/dp/B01GCCWX9K/ref=sr_1_41_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-41,4.3 out of 5 stars,29,£0.65
"Whiskas Complete & Balanced Cat Pouches, 40 x 100g",,/Whiskas-Plus-Pouches-Selection-Jelly/dp/B00VV8QKEU/ref=sr_1_42_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-42,4.7 out of 5 stars,"1,118",
Gourmet Perle Chef's Selection Pouch 12x85g,,/Gourmet-Perle-Chef-Collection-4x12x85g/dp/B00ZAVB99U/ref=sr_1_43_f3_0o_morri?keywords=cat+food&qid=1660589953&sr=8-43,4.5 out of 5 stars,117,£5.35
